polarity,subjectivity,created_at,location
0.0,0.0,Thu Mar 12 20:44:39 +0000 2020,United States
0.2,0.625,Thu Mar 12 20:42:58 +0000 2020,Germany
0.0,0.0,Thu Mar 12 20:35:38 +0000 2020,"Ahmadabad City, India"
0.0,0.0,Thu Mar 12 20:35:08 +0000 2020,
0.2,0.625,Thu Mar 12 20:34:19 +0000 2020,Kareena Kapoor Khan's Universe
0.3875,0.5,Thu Mar 12 20:33:36 +0000 2020,
0.2,0.625,Thu Mar 12 20:32:35 +0000 2020,Worldwide (Malaysia)
0.0,0.65,Thu Mar 12 20:24:09 +0000 2020,
0.5285714285714286,0.7357142857142858,Thu Mar 12 20:18:46 +0000 2020,"Hyderabad, India"
0.5,1.0,Thu Mar 12 20:10:38 +0000 2020,Canada
0.0,0.0,Thu Mar 12 20:10:23 +0000 2020,Viperville!!!
0.13636363636363635,0.45454545454545453,Thu Mar 12 20:08:24 +0000 2020,"Mumbai, "
0.49166666666666664,0.7166666666666667,Thu Mar 12 20:06:35 +0000 2020,EaRth
0.0,0.0,Thu Mar 12 20:02:29 +0000 2020,भारत
0.13636363636363635,0.45454545454545453,Thu Mar 12 20:00:30 +0000 2020,Canada
0.0,0.0,Thu Mar 12 19:59:27 +0000 2020,India 🇮🇳 
1.0,0.3,Thu Mar 12 19:57:31 +0000 2020,
0.0,0.0,Thu Mar 12 19:57:12 +0000 2020,"Ambala, India"
0.0,0.0,Thu Mar 12 19:56:06 +0000 2020,"Ambala, India"
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:55:19 +0000 2020,India 🇮🇳 
-0.5,0.29999999999999993,Thu Mar 12 19:55:14 +0000 2020,India 🇮🇳 
0.0,0.0,Thu Mar 12 19:55:00 +0000 2020,"Nagpur, India"
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:54:58 +0000 2020,India 🇮🇳 
-0.5,0.29999999999999993,Thu Mar 12 19:54:49 +0000 2020,India 🇮🇳 
0.0,0.0,Thu Mar 12 19:51:42 +0000 2020,
0.43333333333333335,0.6333333333333333,Thu Mar 12 19:48:37 +0000 2020,MarvelWood
0.85,1.0,Thu Mar 12 19:48:31 +0000 2020,MarvelWood
0.4,0.75,Thu Mar 12 19:48:26 +0000 2020,MarvelWood
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:45:44 +0000 2020,Germany
0.0,0.0,Thu Mar 12 19:45:28 +0000 2020,Germany
-0.3,0.6,Thu Mar 12 19:45:11 +0000 2020,Germany
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:45:00 +0000 2020,Germany
-0.04999999999999999,1.0,Thu Mar 12 19:44:48 +0000 2020,Germany
0.0,0.0,Thu Mar 12 19:44:48 +0000 2020,
0.35714285714285715,0.5714285714285714,Thu Mar 12 19:44:03 +0000 2020,India
0.49166666666666664,0.7166666666666667,Thu Mar 12 19:43:57 +0000 2020,MarvelWood
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:41:37 +0000 2020,Kareena Kapoor Khan's Universe
0.0,0.0,Thu Mar 12 19:39:25 +0000 2020,India
0.30400000000000005,0.8009999999999999,Thu Mar 12 19:39:24 +0000 2020,HinduSthan
0.3,0.1,Thu Mar 12 19:37:28 +0000 2020,
0.85,1.0,Thu Mar 12 19:37:22 +0000 2020,India
0.25,0.9444444444444444,Thu Mar 12 19:36:05 +0000 2020,"Ahmedabad, Gujarat"
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:36:02 +0000 2020,Kareena Kapoor Khan's Universe
0.3,0.1,Thu Mar 12 19:35:02 +0000 2020,INDIA
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:32:14 +0000 2020,Kareena Kapoor Khan's Universe
-0.5,0.29999999999999993,Thu Mar 12 19:32:02 +0000 2020,Kareena Kapoor Khan's Universe
0.0,0.0,Thu Mar 12 19:31:58 +0000 2020,India
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:31:51 +0000 2020,Kareena Kapoor Khan's Universe
-0.04999999999999999,1.0,Thu Mar 12 19:31:32 +0000 2020,Kareena Kapoor Khan's Universe
0.0,0.0,Thu Mar 12 19:30:52 +0000 2020,"Rajouri Garden, New Delhi"
0.0,0.0,Thu Mar 12 19:30:19 +0000 2020,
0.0,0.0,Thu Mar 12 19:29:56 +0000 2020,
0.0,0.0,Thu Mar 12 19:27:08 +0000 2020,
0.0,0.0,Thu Mar 12 19:24:52 +0000 2020,
-0.5,0.29999999999999993,Thu Mar 12 19:23:46 +0000 2020,Kareena Kapoor Khan's Universe
0.0,0.0,Thu Mar 12 19:22:12 +0000 2020,
0.0,0.0,Thu Mar 12 19:21:31 +0000 2020,
0.0,0.0,Thu Mar 12 19:19:02 +0000 2020,"Salem, India"
0.0,0.0,Thu Mar 12 19:18:50 +0000 2020, India
0.0,0.0,Thu Mar 12 19:18:11 +0000 2020,"Salem, India"
0.0,0.0,Thu Mar 12 19:15:19 +0000 2020,"Mumbai, India"
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:13:40 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 19:13:32 +0000 2020,
-0.3,0.6,Thu Mar 12 19:13:23 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:13:14 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 19:12:43 +0000 2020,At Mauritius
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:12:39 +0000 2020,At Mauritius
-0.5,0.29999999999999993,Thu Mar 12 19:12:31 +0000 2020,At Mauritius
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:12:30 +0000 2020,At Mauritius
0.0,0.1,Thu Mar 12 19:10:48 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 19:10:36 +0000 2020,"Bengaluru, India"
0.0,0.0,Thu Mar 12 19:10:09 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 19:08:55 +0000 2020,
0.0,0.75,Thu Mar 12 19:08:15 +0000 2020,
0.0,0.0,Thu Mar 12 19:07:58 +0000 2020,"Toronto, Ontario"
0.8,0.75,Thu Mar 12 19:07:18 +0000 2020,Mumbai
0.0,0.0,Thu Mar 12 19:06:51 +0000 2020,Malaysia
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:05:57 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 19:05:52 +0000 2020,
0.5166666666666666,0.7333333333333334,Thu Mar 12 19:05:27 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:05:18 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 19:05:05 +0000 2020,
-0.3,0.6,Thu Mar 12 19:05:02 +0000 2020,
1.0,1.0,Thu Mar 12 19:05:00 +0000 2020,
-0.2857142857142857,0.3214285714285714,Thu Mar 12 19:04:47 +0000 2020,
-0.5,0.29999999999999993,Thu Mar 12 19:04:45 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:03:42 +0000 2020,India
-0.5,0.29999999999999993,Thu Mar 12 19:03:34 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:03:30 +0000 2020,
0.0,0.0,Thu Mar 12 19:03:22 +0000 2020,"Kota, India"
0.0,0.0,Thu Mar 12 19:03:12 +0000 2020,India
-0.1,0.1,Thu Mar 12 19:02:47 +0000 2020,
0.0,0.0,Thu Mar 12 19:02:16 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 19:02:13 +0000 2020,Worldwide (Malaysia)
0.0,0.0,Thu Mar 12 19:01:40 +0000 2020,
0.0,0.0,Thu Mar 12 19:00:14 +0000 2020,"Bhubaneshwar, India"
-0.5,0.29999999999999993,Thu Mar 12 18:59:31 +0000 2020,India
0.06666666666666665,0.4666666666666666,Thu Mar 12 18:59:28 +0000 2020,India
0.06666666666666665,0.4666666666666666,Thu Mar 12 18:58:54 +0000 2020,
0.0,0.0,Thu Mar 12 18:58:13 +0000 2020,India
0.0,0.0,Thu Mar 12 18:57:31 +0000 2020,"Jaipur, India"
0.0,0.0,Thu Mar 12 18:56:24 +0000 2020,Nepal
-0.1,0.1,Thu Mar 12 18:55:43 +0000 2020,India
0.0,0.0,Thu Mar 12 18:55:09 +0000 2020,India
0.25,0.9444444444444444,Thu Mar 12 18:54:53 +0000 2020,India
0.0,0.0,Thu Mar 12 18:54:39 +0000 2020,Luxembourg
0.3875,0.5,Thu Mar 12 18:54:26 +0000 2020,"Maharashtra, India"
0.4,0.8,Thu Mar 12 18:53:58 +0000 2020,
0.0,0.0,Thu Mar 12 18:53:34 +0000 2020,sonepat Haryana
-0.5,0.29999999999999993,Thu Mar 12 18:53:20 +0000 2020,Worldwide (Malaysia)
-0.5,0.29999999999999993,Thu Mar 12 18:52:25 +0000 2020,
0.0,0.0,Thu Mar 12 18:49:57 +0000 2020,
0.0,0.0,Thu Mar 12 18:49:10 +0000 2020,
0.0,0.0,Thu Mar 12 18:48:31 +0000 2020,"mumbai,Maharashtra,India"
0.5,0.5,Thu Mar 12 18:47:57 +0000 2020,"Indiana, USA"
0.0,0.0,Thu Mar 12 18:47:35 +0000 2020,
0.13750000000000004,0.6375,Thu Mar 12 18:47:17 +0000 2020,
0.0,0.0,Thu Mar 12 18:46:49 +0000 2020,"Dubai, United Arab Emirates"
-0.2857142857142857,0.3214285714285714,Thu Mar 12 18:45:15 +0000 2020,India 🇮🇳 
-0.04999999999999999,1.0,Thu Mar 12 18:45:12 +0000 2020,India 🇮🇳 
-0.2857142857142857,0.3214285714285714,Thu Mar 12 18:45:07 +0000 2020,India 🇮🇳 
-0.1,0.1,Thu Mar 12 18:44:08 +0000 2020,AHMEDABAD 
-0.1,0.1,Thu Mar 12 18:44:04 +0000 2020,
0.0,0.0,Thu Mar 12 18:43:31 +0000 2020,MUMBAI
0.0,0.0,Thu Mar 12 18:43:23 +0000 2020,AHMEDABAD 
-0.1,0.1,Thu Mar 12 18:42:51 +0000 2020,Indian Film Fraternity-Mumbai
0.0,0.0,Thu Mar 12 18:42:38 +0000 2020,
0.25,0.9444444444444444,Thu Mar 12 18:42:29 +0000 2020,"New Delhi, India"
0.0,0.0,Thu Mar 12 18:42:00 +0000 2020,"Noida, India"
0.0,0.0,Thu Mar 12 18:40:34 +0000 2020,"New Delhi, India"
0.0,0.0,Thu Mar 12 18:40:02 +0000 2020,"Karachi, Pakistan"
0.6,0.9,Thu Mar 12 18:37:17 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 18:37:08 +0000 2020,Mumbai
0.0,0.0,Thu Mar 12 18:33:17 +0000 2020,Mumbai
0.0,0.0,Thu Mar 12 18:32:33 +0000 2020,"Bhopal, India"
0.0,0.0,Thu Mar 12 18:32:25 +0000 2020,Hyderabad
0.0,0.0,Thu Mar 12 18:31:23 +0000 2020,"Ahmadabad City, India"
0.0,0.0,Thu Mar 12 18:31:18 +0000 2020,"Sangam Vihar, New Delhi "
0.25,0.9444444444444444,Thu Mar 12 18:31:11 +0000 2020,"Aurangabad, Maharashtra"
0.7,0.65,Thu Mar 12 18:30:58 +0000 2020,India
0.0,0.0,Thu Mar 12 18:30:20 +0000 2020,"Indore, India"
0.0,0.0,Thu Mar 12 18:30:04 +0000 2020,"Nigeria, Ghana"
0.0,0.0,Thu Mar 12 18:30:01 +0000 2020,"Maharashtra, India"
-0.30000000000000004,0.39999999999999997,Thu Mar 12 18:30:00 +0000 2020,India
0.0,0.0,Thu Mar 12 18:29:16 +0000 2020,
0.0,0.0,Thu Mar 12 18:28:48 +0000 2020,"Mumbai, India"
0.3,0.1,Thu Mar 12 18:28:39 +0000 2020,
0.25,0.9444444444444444,Thu Mar 12 18:28:26 +0000 2020,
0.25,0.9444444444444444,Thu Mar 12 18:26:01 +0000 2020,"Mumbai, India"
0.41818181818181815,0.5272727272727273,Thu Mar 12 18:25:39 +0000 2020,"New Delhi, India"
0.0,0.0,Thu Mar 12 18:25:37 +0000 2020,"Mumbai, India"
-0.2857142857142857,0.3214285714285714,Thu Mar 12 18:25:31 +0000 2020,Worldwide (Malaysia)
0.0,0.0,Thu Mar 12 18:25:29 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 18:25:16 +0000 2020,India
0.0,0.0,Thu Mar 12 18:25:13 +0000 2020,
0.0,0.0,Thu Mar 12 18:25:12 +0000 2020,
-0.2857142857142857,0.3214285714285714,Thu Mar 12 18:25:11 +0000 2020,India
0.0,0.0,Thu Mar 12 18:25:09 +0000 2020,"Gujarat, India"
0.0,0.0,Thu Mar 12 18:25:08 +0000 2020,New Delhi/Hong Kong
0.0,0.0,Thu Mar 12 18:24:44 +0000 2020,"Kolkata, India"
0.0,0.0,Thu Mar 12 18:24:26 +0000 2020,"Mumbai, India"
-0.2857142857142857,0.3214285714285714,Thu Mar 12 18:24:21 +0000 2020,
0.5,1.0,Thu Mar 12 18:24:12 +0000 2020,India
0.0,0.0,Thu Mar 12 18:23:20 +0000 2020,Mumbai
0.0,0.0,Thu Mar 12 18:23:10 +0000 2020,"Mumbai, India"
-0.30000000000000004,0.39999999999999997,Thu Mar 12 18:23:08 +0000 2020,India 🇮🇳 
-0.3,0.6,Thu Mar 12 18:20:43 +0000 2020,India 🇮🇳 
-0.3,0.6,Thu Mar 12 18:18:58 +0000 2020,India 🇮🇳 
0.0,0.0,Thu Mar 12 18:16:04 +0000 2020,المملكة العربية السعودية
0.49166666666666664,0.7166666666666667,Thu Mar 12 18:13:34 +0000 2020,"Dubai, United Arab Emirates"
0.35,0.65,Thu Mar 12 18:11:57 +0000 2020,"Andhra Pradesh, India"
-0.04999999999999999,1.0,Thu Mar 12 18:11:28 +0000 2020,Kareena Kapoor Khan's Universe
0.6,0.9,Thu Mar 12 18:08:27 +0000 2020,"Hyderabad, India"
0.09166666666666665,0.5666666666666667,Thu Mar 12 18:08:23 +0000 2020,india
0.0,0.0,Thu Mar 12 18:05:15 +0000 2020,"Indore, India"
0.6,0.9,Thu Mar 12 18:04:34 +0000 2020,India
-0.30000000000000004,0.39999999999999997,Thu Mar 12 17:53:52 +0000 2020,India
0.0,0.0,Thu Mar 12 17:51:37 +0000 2020,
0.0,0.0,Thu Mar 12 17:50:35 +0000 2020,"Ghazipur, U.P"
0.4,0.8,Thu Mar 12 17:48:36 +0000 2020,"भुवनेश्वर, भारत"
-0.30000000000000004,0.39999999999999997,Thu Mar 12 17:39:16 +0000 2020,
0.9,1.0,Thu Mar 12 17:38:18 +0000 2020,India
0.0,0.0,Thu Mar 12 17:37:02 +0000 2020,36 KM Away from MANNAT
-0.30000000000000004,0.39999999999999997,Thu Mar 12 17:36:44 +0000 2020,"Rajouri Garden, New Delhi"
0.4,0.8,Thu Mar 12 17:35:06 +0000 2020,भारत
-0.2,0.3833333333333333,Thu Mar 12 17:31:38 +0000 2020,
